ИНН, additionaldata,ID компании,Наименование полное,Наименование краткое,Реестр МСП,Вид предпринимательства,Категория субъекта,objecttype,registration_number,patent_type,patent_name,classification,publication URL
383201491480, additionaldata,,,,,,,,,,,,
110502773412, additionaldata,,,,,,,,,,,,
362800413286, additionaldata,,,,,,,,,,,,
673006079116, additionaldata,,,,,,,,,,,,
400209568269, additionaldata,,,,,,,,,,,,
550616668320, additionaldata,,,,,,,,,,,,
550602192785, additionaldata,,,,,,,,,,,,
744702923530, additionaldata,,,,,,,,,,,,
744715377430, additionaldata,,,,,,,,,,,,
744720232110, additionaldata,,,,,,,,,,,,
744713697604, additionaldata,,,,,,,,,,,,
744714074553, additionaldata,,,,,,,,,,,,
744702871138, additionaldata,,,,,,,,,,,,
744715180280, additionaldata,,,,,,,,,,,,
744705170780, additionaldata,,,,,,,,,,,,
744720352174, additionaldata,,,,,,,,,,,,
744808603650, additionaldata,,,,,,,,,,,,
744714219897, additionaldata,,,,,,,,,,,,
744717309161, additionaldata,,,,,,,,,,,,
744717593691, additionaldata,,,,,,,,,,,,
744712651766, additionaldata,,,,,,,,,,,,
744717079310, additionaldata,,,,,,,,,,,,
744709587704, additionaldata,,,,,,,,,,,,
745003622726, additionaldata,,,,,,,,,,,,
744716964544, additionaldata,,,,,,,,,,,,
744713979510, additionaldata,,,,,,,,,,,,
744713403526, additionaldata,,,,,,,,,,,,
744709244506, additionaldata,,,,,,,,,,,,
745000143958, additionaldata,,,,,,,,,,,,
744512680343, additionaldata,,,,,,,,,,,,
744709317546, additionaldata,31003322.0,Иванова Юлия Сергеевна,Иванова Юлия Сергеевна,,,,,135570,Полезная модель,ИНСТРУМЕНТАЛЬНЫЙ УЗЕЛ ЭЛЕКТРОМЕХАНИЧЕСКОЙ ОБРАБОТКИ,B24B  39/04,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=135570
744709317546, additionaldata,50509259.0,Иванова Юлия Сергеевна,Иванова Юлия Сергеевна,,,,,135570,Полезная модель,ИНСТРУМЕНТАЛЬНЫЙ УЗЕЛ ЭЛЕКТРОМЕХАНИЧЕСКОЙ ОБРАБОТКИ,B24B  39/04,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=135570
744718293370, additionaldata,,,,,,,,,,,,
745208479273, additionaldata,,,,,,,,,,,,
744512671758, additionaldata,,,,,,,,,,,,
744710551798, additionaldata,,,,,,,,,,,,
744713049321, additionaldata,,,,,,,,,,,,
744905103205, additionaldata,,,,,,,,,,,,
744506739398, additionaldata,,,,,,,,,,,,
744802136897, additionaldata,,,,,,,,,,,,
744709107154, additionaldata,,,,,,,,,,,,
744715374790, additionaldata,,,,,,,,,,,,
744715319990, additionaldata,,,,,,,,,,,,
744709559009, additionaldata,,,,,,,,,,,,
745006636251, additionaldata,,,,,,,,,,,,
744720229942, additionaldata,,,,,,,,,,,,
744406187520, additionaldata,,,,,,,,,,,,
744717497701, additionaldata,,,,,,,,,,,,
744716926901, additionaldata,,,,,,,,,,,,
745207032348, additionaldata,,,,,,,,,,,,
745204597702, additionaldata,,,,,,,,,,,,
744721189393, additionaldata,,,,,,,,,,,,
744719296454, additionaldata,,,,,,,,,,,,
744843386649, additionaldata,,,,,,,,,,,,
744845246855, additionaldata,,,,,,,,,,,,
744717400082, additionaldata,,,,,,,,,,,,
744713133735, additionaldata,,,,,,,,,,,,
744717699063, additionaldata,,,,,,,,,,,,
744715441238, additionaldata,,,,,,,,,,,,
744500038533, additionaldata,,,,,,,,,,,,
744500483005, additionaldata,,,,,,,,,,,,
744500325263, additionaldata,,,,,,,,,,,,
744600166296, additionaldata,,,,,,,,,,,,
744500743895, additionaldata,,,,,,,,,,,,
744507173299, additionaldata,,,,,,,,,,,,
744500024587, additionaldata,,,,,,,,,,,,
744401630932, additionaldata,,,,,,,,,,,,
744513652780, additionaldata,,,,,,,,,,,,
742502742460, additionaldata,,,,,,,,,,,,
744514642086, additionaldata,,,,,,,,,,,,
744513224110, additionaldata,,,,,,,,,,,,
744512455980, additionaldata,31003787.0,Савинов Сергей Юрьевич,Савинов Сергей Юрьевич,,,,,2517386,Изобретение,Безошибочный графический пароль,G06K   9/00,
744500412004, additionaldata,,,,,,,,,,,,
744513705992, additionaldata,,,,,,,,,,,,
744512884717, additionaldata,,,,,,,,,,,,
744512082826, additionaldata,,,,,,,,,,,,
742902646143, additionaldata,,,,,,,,,,,,
744517010896, additionaldata,,,,,,,,,,,,
744514631944, additionaldata,,,,,,,,,,,,
744514349017, additionaldata,,,,,,,,,,,,
744409155862, additionaldata,,,,,,,,,,,,
744514562786, additionaldata,,,,,,,,,,,,
744513707439, additionaldata,,,,,,,,,,,,
744507120314, additionaldata,,,,,,,,,,,,
744512981661, additionaldata,,,,,,,,,,,,
744514959044, additionaldata,,,,,,,,,,,,
744514898909, additionaldata,,,,,,,,,,,,
744512114549, additionaldata,,,,,,,,,,,,
744514428460, additionaldata,,,,,,,,,,,,
744508346642, additionaldata,,,,,,,,,,,,
744515240301, additionaldata,,,,,,,,,,,,
744513931303, additionaldata,,,,,,,,,,,,
744500057624, additionaldata,,,,,,,,,,,,
744515174673, additionaldata,,,,,,,,,,,,
744514326080, additionaldata,,,,,,,,,,,,
744511487562, additionaldata,,,,,,,,,,,,
744506937343, additionaldata,,,,,,,,,,,,
744509874451, additionaldata,,,,,,,,,,,,
744514574333, additionaldata,,,,,,,,,,,,
744513112199, additionaldata,,,,,,,,,,,,
744517842862, additionaldata,,,,,,,,,,,,
744516733606, additionaldata,,,,,,,,,,,,
744510380552, additionaldata,,,,,,,,,,,,
744514966651, additionaldata,,,,,,,,,,,,
744513775703, additionaldata,,,,,,,,,,,,
744506979544, additionaldata,,,,,,,,,,,,
212200155046, additionaldata,,,,,,,,,,,,
744600125116, additionaldata,,,,,,,,,,,,
7724777281, additionaldata,,,,,,,,,,,,
7733769150, additionaldata,,,,,,,,,,,,
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,144296,Полезная модель,ЗАГЛУШКА ДЛЯ ЗАЩИТЫ ТРУБЫ ИЛИ СОЕДИНИТЕЛЬНОЙ ДЕТАЛИ ТРУБОПРОВОДА И ТРУБА С УСТАНОВЛЕННОЙ НА НЕЙ ЗАГЛУШКОЙ,F16L  27/00,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=144296
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,188464,Полезная модель,УСТРОЙСТВО ДЛЯ ФИКСАЦИИ ТРУБ,B60P   7/12,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=188464
6674379227, additionaldata,42856488.0,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМИНВЕСТ""","ООО ""ПРОМИНВЕСТ""",,,,,150867,Полезная модель,Защитный профиль для трубопроводов,F16L   7/00,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPM&DocNumber=150867
